                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75929,                0.73314,                 1.0108,                 0.8708,                0.79962,                0.87258,                0.68393,                0.77075,                0.65528,                0.98372,              0.0006932,              0.0006932,              0.0006932
                     36,                0.75921,                0.71446,                 1.0116,                0.88809,                0.80401,                0.88323,                0.70001,                0.75201,                0.62352,                0.96836,              0.0006536,              0.0006536,              0.0006536
                     37,                0.74914,                 0.6973,                 1.0071,                0.88199,                0.81026,                0.88338,                0.69982,                0.75567,                0.62479,                0.97291,               0.000614,               0.000614,               0.000614
                     38,                0.73655,                0.68178,                0.99926,                0.88424,                0.81912,                0.89144,                0.70749,                0.74755,                0.60015,                0.96654,              0.0005744,              0.0005744,              0.0005744
                     39,                0.74037,                0.68128,                 1.0023,                 0.8897,                0.80777,                0.88987,                0.70533,                0.75109,                0.60844,                0.96499,              0.0005348,              0.0005348,              0.0005348
                     40,                0.73249,                0.67394,                0.99894,                0.89974,                 0.8143,                0.89554,                0.70962,                0.73596,                0.59825,                0.96407,              0.0004952,              0.0004952,              0.0004952
                     41,                  0.776,                0.69741,                 1.0202,                0.89258,                0.81378,                 0.8931,                0.71422,                0.73288,                0.60374,                0.96302,              0.0004556,              0.0004556,              0.0004556
                     42,                0.75864,                0.66227,                 1.0089,                0.89007,                0.82349,                0.89713,                0.72162,                0.73012,                0.58922,                0.95397,               0.000416,               0.000416,               0.000416
                     43,                0.74594,                0.65225,                 1.0038,                0.91576,                0.81078,                0.90009,                0.72507,                0.71481,                0.57548,                0.94857,              0.0003764,              0.0003764,              0.0003764
                     44,                0.73534,                0.63251,                0.99428,                0.90284,                0.83134,                0.90508,                0.73273,                0.70811,                0.55625,                0.94503,              0.0003368,              0.0003368,              0.0003368
                     45,                0.72673,                 0.6198,                0.99091,                0.90196,                0.83774,                0.90962,                0.73894,                0.69821,                0.54043,                0.94051,              0.0002972,              0.0002972,              0.0002972
                     46,                0.72467,                 0.6127,                0.99291,                0.90709,                0.83709,                 0.9111,                0.74024,                0.69775,                 0.5377,                0.94001,              0.0002576,              0.0002576,              0.0002576
                     47,                0.72255,                 0.5979,                0.98365,                 0.9057,                0.84451,                0.91406,                0.74649,                0.68291,                0.52966,                0.93232,               0.000218,               0.000218,               0.000218
                     48,                0.69842,                0.58132,                 0.9803,                0.91165,                0.84525,                0.91617,                0.74921,                0.67736,                0.52116,                 0.9288,              0.0001784,              0.0001784,              0.0001784
                     49,                0.69794,                0.57046,                0.97388,                0.91107,                0.85515,                0.91951,                0.75253,                0.67314,                0.51128,                0.92806,              0.0001388,              0.0001388,              0.0001388
                     50,                0.68633,                  0.561,                 0.9666,                 0.9186,                0.85237,                0.92025,                 0.7564,                0.66759,                0.50534,                0.92657,               9.92e-05,               9.92e-05,               9.92e-05
