                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1686,                0.91029,                 1.2364,                0.94495,                0.63532,                0.73932,                0.53197,                 1.0119,                0.80247,                 1.1522,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.1315,                0.87486,                 1.2151,                0.75558,                0.62093,                0.70894,                0.51836,                0.97422,                0.73691,                 1.1359,               0.000467,               0.000467,               0.000467
                     37,                 1.1447,                 0.8953,                  1.232,                0.83211,                0.67735,                0.72135,                 0.5254,                 1.0098,                0.78896,                 1.1632,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1241,                 0.8771,                 1.2183,                 0.9211,                0.66058,                0.70917,                0.50324,                0.99804,                0.78983,                 1.1591,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.1255,                 0.8631,                 1.2166,                0.76503,                0.65789,                0.70284,                0.50172,                 1.0254,                0.89538,                 1.1647,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.1128,                0.85379,                 1.2099,                0.69066,                0.63741,                0.70021,                0.51467,                0.99995,                0.72366,                  1.155,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.1151,                0.78073,                 1.2197,                 0.6622,                0.66401,                0.68099,                0.49149,                0.99679,                0.85234,                  1.154,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.0825,                0.74181,                 1.2127,                0.81581,                0.68058,                0.74072,                0.51725,                 1.0052,                0.68538,                 1.1581,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.0571,                0.71139,                 1.1832,                0.78443,                0.74121,                0.76586,                0.54714,                 1.0161,                0.71029,                 1.1562,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.0425,                0.69332,                 1.1694,                0.70796,                0.73341,                0.72999,                0.52377,                 1.0174,                0.77307,                 1.1573,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.0143,                0.67745,                 1.1593,                0.79801,                0.63672,                0.68844,                0.48813,                 1.0244,                0.73811,                  1.169,             0.00021235,             0.00021235,             0.00021235
                     46,                  1.021,                0.67343,                 1.1671,                0.82759,                0.63552,                0.70402,                0.50799,                0.98981,                0.72688,                 1.1404,             0.00018406,             0.00018406,             0.00018406
                     47,                  1.003,                 0.6676,                 1.1488,                0.83423,                0.67986,                0.72289,                0.52485,                0.97978,                0.76765,                  1.143,             0.00015576,             0.00015576,             0.00015576
                     48,                0.99439,                 0.6539,                 1.1495,                0.83111,                0.66052,                0.72732,                0.51604,                0.98639,                0.76718,                 1.1468,             0.00012747,             0.00012747,             0.00012747
                     49,                0.97331,                0.63474,                 1.1328,                0.83465,                0.68772,                 0.7208,                 0.5161,                 1.0063,                 0.7935,                 1.1513,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.96287,                0.61891,                 1.1243,                0.84631,                 0.7015,                0.74321,                0.52768,                0.98509,                0.80711,                 1.1411,             7.0878e-05,             7.0878e-05,             7.0878e-05
