                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1679,                 1.1025,                 1.3657,                0.77475,                0.74414,                0.80165,                0.43811,                 1.6051,                 1.1776,                 1.6743,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1812,                 1.1284,                 1.3747,                0.77892,                0.76349,                0.82692,                 0.4738,                  1.483,                 1.1339,                 1.5511,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1506,                 1.0975,                 1.3446,                0.78004,                 0.7574,                 0.8225,                0.43962,                 1.5845,                 1.1235,                 1.6279,             0.00054478,             0.00054478,             0.00054478
                     37,                  1.132,                 1.0711,                 1.3457,                0.78238,                0.76477,                0.82987,                0.45474,                 1.5485,                 1.0641,                 1.5978,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1329,                 1.0649,                 1.3341,                0.77986,                0.77153,                0.83767,                0.46227,                 1.5293,                 1.0767,                 1.6038,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1093,                 1.0233,                 1.3214,                0.77438,                0.78028,                0.83838,                0.48651,                 1.4843,                 1.0963,                 1.5699,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1237,                 1.0472,                 1.3382,                0.78468,                0.78777,                0.84019,                0.47894,                 1.4761,                 1.0669,                 1.5545,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0441,                0.88377,                  1.337,                0.79967,                0.78735,                0.84755,                 0.4627,                 1.5411,                 1.0453,                 1.5951,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.0309,                0.82932,                 1.3197,                0.77731,                  0.806,                0.85487,                0.49096,                 1.4981,                 1.0263,                  1.576,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.0014,                0.76084,                  1.303,                0.78819,                0.81985,                0.85897,                0.48815,                 1.4769,                 1.0112,                  1.549,             0.00031373,             0.00031373,             0.00031373
                     44,                0.98812,                0.75487,                 1.2908,                0.78435,                0.80918,                0.86019,                 0.4997,                 1.4364,                 1.0123,                 1.5264,             0.00028072,             0.00028072,             0.00028072
                     45,                 0.9695,                0.73377,                 1.2828,                0.80831,                0.79267,                 0.8659,                0.52146,                 1.3911,                0.95693,                 1.4885,             0.00024772,             0.00024772,             0.00024772
                     46,                0.94839,                0.70453,                 1.2551,                0.78484,                 0.8262,                 0.8687,                0.51779,                 1.4317,                0.94863,                  1.508,             0.00021471,             0.00021471,             0.00021471
                     47,                0.94137,                0.69106,                 1.2452,                0.82928,                0.81873,                0.88204,                0.52567,                 1.4201,                0.91759,                 1.5104,              0.0001817,              0.0001817,              0.0001817
                     48,                0.92494,                0.66924,                 1.2489,                0.82449,                0.83578,                0.88534,                0.52145,                 1.4351,                0.91491,                 1.5108,              0.0001487,              0.0001487,              0.0001487
                     49,                0.91795,                 0.6731,                  1.237,                0.82608,                0.80757,                 0.8806,                0.53463,                 1.3967,                0.92359,                 1.4827,             0.00011569,             0.00011569,             0.00011569
                     50,                0.89506,                0.64766,                 1.2156,                0.81575,                0.82499,                0.88285,                0.53243,                 1.4079,                 0.9077,                  1.487,             8.2683e-05,             8.2683e-05,             8.2683e-05
