                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0661,                  1.009,                 1.3853,                0.78066,                0.67619,                0.75168,                0.41455,                   1.51,                 1.3195,                 1.6685,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.0444,                0.98369,                 1.3687,                0.76972,                0.63492,                0.73759,                0.40797,                 1.5042,                 1.3696,                 1.6537,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.0451,                0.98967,                  1.368,                 0.7617,                0.67937,                0.73958,                0.40364,                 1.5386,                 1.3171,                 1.6563,               0.000467,               0.000467,               0.000467
                     37,                 1.0339,                0.96678,                 1.3604,                0.78586,                 0.6127,                 0.7375,                0.41075,                 1.5303,                 1.3845,                  1.672,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.0196,                0.95133,                 1.3575,                0.81695,                0.63175,                 0.7446,                0.41429,                 1.4953,                   1.37,                 1.6404,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.0139,                0.94184,                 1.3515,                0.82133,                0.64213,                0.77293,                0.44427,                 1.4908,                  1.338,                  1.629,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.0159,                0.93213,                  1.352,                0.80315,                0.65397,                0.76479,                0.43128,                 1.4854,                 1.2857,                 1.6122,             0.00035382,             0.00035382,             0.00035382
                     41,                0.99333,                0.78058,                 1.3879,                0.77175,                0.68697,                0.78763,                 0.4432,                  1.522,                 1.2704,                 1.6415,             0.00032553,             0.00032553,             0.00032553
                     42,                0.97075,                0.76042,                 1.3757,                0.78895,                0.69206,                0.77494,                0.43464,                 1.5278,                   1.24,                 1.6794,             0.00029723,             0.00029723,             0.00029723
                     43,                0.94902,                0.71801,                 1.3555,                0.83414,                0.66984,                0.79615,                0.44742,                 1.5051,                 1.1815,                  1.643,             0.00026894,             0.00026894,             0.00026894
                     44,                0.93612,                0.70487,                 1.3404,                0.81762,                0.69524,                0.79904,                 0.4394,                 1.5139,                 1.2172,                 1.6651,             0.00024064,             0.00024064,             0.00024064
                     45,                0.91716,                  0.694,                 1.3239,                0.82398,                0.68571,                0.79713,                0.44699,                 1.5134,                 1.2031,                 1.6587,             0.00021235,             0.00021235,             0.00021235
                     46,                0.90902,                0.68756,                 1.3247,                0.83401,                0.70185,                0.79852,                0.45533,                 1.5013,                 1.2041,                 1.6681,             0.00018406,             0.00018406,             0.00018406
                     47,                0.90547,                0.66462,                 1.3137,                0.79665,                0.71111,                0.78725,                0.45433,                 1.5167,                 1.1972,                 1.6744,             0.00015576,             0.00015576,             0.00015576
                     48,                0.88424,                0.64877,                 1.2959,                0.81336,                0.72698,                0.80198,                0.46189,                 1.5085,                 1.1459,                 1.6638,             0.00012747,             0.00012747,             0.00012747
                     49,                0.88638,                0.64774,                    1.3,                 0.8365,                0.71111,                0.79832,                0.46491,                 1.5121,                 1.1646,                 1.6657,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.87232,                0.63672,                 1.2847,                0.81408,                0.70892,                0.79156,                0.45471,                 1.5095,                 1.1777,                 1.6704,             7.0878e-05,             7.0878e-05,             7.0878e-05
